gfa,comb_add,use,ext_plan,developer,status,address,project,submarket,year,lon,lat
346000,"221 W Harrison St, 60607, Chicago, Illinois",Resi,Existing,Wood Partners,Stabilized,221 W Harrison St,Alta Grand Central,West Loop,2019,-87.6342,41.8741
60000,"233 W North Ave, 60610, Chicago, Illinois",Resi,Existing,Back Nine,Lease Up,233 W North Ave,The Northland,Old Town,2018,-87.6359,41.911
320000,"1140 S Wabash Ave, 60605, Chicago, Illinois",Resi,Existing,CA Ventures,Lease Up,1140 S Wabash Ave,Eleven40,South Loop,2018,-87.626,41.869
356000,"353 W Grand St, 60642, Chicago, Illinois",Resi,Existing,Onni,Construction,353 W Grand St,Clark & Barlow,River North,2023,-87.6373,41.8913
250000,"435 N Michigan Ave, 60611, Chicago, Illinois",Resi,Existing,Golub/CIM,Construction,435 N Michigan Ave,Trib-Condo,Streeterville,2023,-87.6221,41.8903
1490825,"71 S Wacker Dr, 60654, Chicago, Illinois",Office,Existing,Pritzker,Stabilized,71 S Wacker Dr,Hyatt,West Loop,2005,-87.636,41.8809
1065000,"444 N Lake St, 60606, Chicago, Illinois",Office,Existing,Hines,Stabilized,444 N Lake St,DLA,West Loop,2016,-87.6393,41.8862
64000,"4525 N Kenmore Ave, 60640, Chicago, Illinois",Resi,Existing,Morningside,Lease Up,4525 N Kenmore Ave,Stewart School Lofts,Uptown,2018,-87.6558,41.9644
1302901,"300 N LaSalle Dr, 60654, Chicago, Illinois",Office,Existing,Hines,Stabilized,300 N LaSalle Dr,Kirkland Ellis,River North,2009,-87.6334,41.8882
387000,"1140 N Wells St 60610, Chicago, Illinois",Resi,Existing,Onni,Construction,1140 N Wells St,OldTown Park - PH III,Near North,2022,-87.6359,41.9022
49000,"830 N Milwaukee Ave, 60642, Chicago, Illinois",Resi,Existing,Akara,Stabilized,830 N Milwaukee Ave,Linkt,River West,2017,-87.6567,41.8969
279000,"451 E Grand Ave, 60611, Chicago, Illinois",Resi,Existing,Related,Stabilized,451 E Grand Ave,One Bennett - Multi,Streeterville,2019,-87.6156,41.8919
92000,"1200 N State Street, 60610, Chicago, Illinois",Resi,Existing,Newcastle,Construction,1212 N State Street,McFadden,Gold Coast,2022,-87.629,41.9042
324000,"840 W Blackhawk St, 60642, Chicago, Illinois",Resi,Existing,Smithfield,Stabilized,840 W Blackhawk St,SoNo,Lincoln Park,2012,-87.65,41.9085
460000,"435 N Michigan Ave, 60611, Chicago, Illinois",Resi,Existing,Golub/CIM,Construction,435 N Michigan Ave,Trib - Landmark,Streeterville,2021,-87.6238,41.8903
49000,"847 N Larrabee St, 60654, Chicago, Illinois",Resi,Existing,Domus Group,Stabilized,847 N Larrabee St,847 Larrabee,Near North,2017,-87.6427,41.8981
